player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2022,388,188,-4.910701669146269,.408160177092469,-4.502541492053799,-3.360821476024535,1.119376167950074,-2.241445308074462,-4.909633110028291,.4693348771442036,-4.440298232884087,-.1616049201423336,-.1616049201423336,0,-6.671239566620969,1.371005244700255,-5.300234321920714,-.3295665364069215
Steven Adams,adamsst01,2022,382,181,2.448407118274339,.2607981200313307,2.70920523830567,.0055343849860301,-2.309086357571694,-2.303551972585664,2.2374813630957,.1064204281737096,2.34390179126941,.4727522454012378,.4727522454012378,0,6.106369256346741,-.0467378897109474,6.059631366635794,.508948232759636
Bam Adebayo,adebaba01,2022,400,190,.4269334248592975,4.532944212859618,4.959877637718916,-12.64381224061537,10.03745727145418,-2.606354969161188,-.6498486919896327,5.02183584748524,4.371987155495606,.6982262194182909,.6982262194182909,0,-3.369593279403262,3.480131253417054,.1105379740137913,1.156279592232284
Santi Aldama,aldamsa01,2022,24,11,10.32665131692081,-8.194851168940394,2.131800147980416,-9.699115806173413,21.82035133931763,12.12123553314422,9.281285338782364,-6.142094972070121,3.139190366712243,.0336565272175479,.0336565272175479,0,9.590416929579511,-9.529610662557795,.0608062670217162,1.865679607889715
LaMarcus Aldridge,aldrila01,2022,254,121,2.481029923220988,1.973741434277824,4.454771357498812,11.66676764373746,4.31789724713905,15.98466489087651,3.22504728428075,2.21432362716621,5.439370911446961,.5018904720064586,.5018904720064586,0,.6173491276460866,3.18908778807883,3.806436915724916,-.7403813101423962
Nickeil Alexander-Walker,alexani01,2022,533,252,-.9852831938365592,2.467117055574001,1.481833861737442,-1.367024946868008,-4.922408395568985,-6.289433342436992,-1.01265550726314,2.026266328460563,1.013610821197423,.487235986889307,.487235986889307,0,.2912691364440962,3.51070831916716,3.801977455611257,.7047457733726058
Grayson Allen,allengr01,2022,484,226,3.013332455137116,-3.213271801513073,-.1999393463759578,5.494733598539606,.7567705942034679,6.251504192743074,3.254173516526856,-2.974585444709937,.2795880718169186,.3483727317633175,.3483727317633175,0,4.870800268252343,-3.591253750727267,1.279546517525076,-.2784025179103354
Jarrett Allen,allenja01,2022,517,245,-.4267368147148757,3.438394090089502,3.011657275374627,-7.348992494663993,6.113432611313252,-1.235559883350741,-.9354748152123217,3.711984820114962,2.77651000490264,.6904143232288327,.6904143232288327,0,-1.648135867593563,3.935201218518772,2.287065350925209,-.0580960980364947
Kyle Anderson,anderky01,2022,328,155,-.5743219485825439,-.3003543776010836,-.8746763261836276,-7.278065100830903,-2.773760855074647,-10.05182595590555,-1.15071827993411,-.4766697410564681,-1.627388020990578,.0871618836570642,.0871618836570642,0,3.331674972044962,-.3095725093176895,3.022102462727273,-1.853933826988939
Giannis Antetokounmpo,antetgi01,2022,543,251,7.192726263949788,1.26095765951115,8.453683923460938,9.366637699402602,9.663936977552243,19.03057467695485,7.597704973378216,1.89436390731754,9.492068880695756,1.587679348903547,1.587679348903547,0,9.217661062049508,-.0707253927144209,9.146935669335088,1.297047736756088
